rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1927	-2.3	-4	3.8	5.9	9	14.9	17.7	16.6	13.2	7.6	2.1	-7.4
1928	-3.6	-2.9	-1	6.8	8.7	12.9	18.4	16	12.5	7.9	4.9	-4
1929	-8.3	-13.8	-2.9	2.4	12.6	13.2	16.5	17.4	12.7	9.9	3.8	-0.7
1930	-2.6	-2.8	2.1	8	10.6	16.7	16.3	15	12.9	8.2	4.3	-3.7
1931	-3.6	-3.8	-2.5	4.3	14.4	15.7	17.6	15.3	9.1	6.6	1.3	-3.5
1932	-3.9	-7.3	-3.4	6.6	12.3	13.2	18.7	16.9	15.4	9.1	2	-2.5
1933	-7.5	-3	1.7	4.3	9.7	12.6	17.3	15.6	11.8	7.9	1.6	-8.5
1934	-4.9	-2.4	4	9.8	13.2	14.2	16.7	16.5	14.2	8.9	4.2	-0.5
1935	-6.5	-3.3	-0.2	6.6	9.2	16.5	16.1	15.5	12.5	10	2	-2.3
1936	0.1	-3.4	3.4	6.8	12.7	14.8	18.6	14.5	11.5	4.5	2.8	-2.4
1937	-7.3	-2.7	2.2	6.6	14.5	16	16.7	16.5	13.8	8.4	2.3	-2.2
1938	-4	-2.2	4.2	4.1	10.6	16.4	17.8	17.4	12.9	9.2	4.5	-4.3
1939	-1.1	-0.6	-1	9.2	10.7	16.1	18.6	17.7	12.3	6.9	2.6	-3.9
1940	-12.8	-11.2	-2.1	7.2	10.6	15.7	16.9	14	12.3	7	4.4	-7.6
1941	-6.6	-2.3	1.9	7.1	9.3	15.6	18.1	16.4	12.4	6.9	0.4	-3.1
1942	-10.3	-3.6	1.3	6.9	12.5	15.3	17.9	18.9	16.9	10.5	2.4	-0.8
1943	-5.6	-1	3.7	8.7	10.7	14.6	16.6	19.5	16	9.1	2.4	-2.7
1944	-4.3	-3.9	-2.7	7.5	11.1	14.9	17.9	20	15.1	10.1	1.4	-3.6
1945	-6.9	-2.8	1.2	6.9	11.9	14.8	16.8	15.7	12.4	7.2	2.1	-2.8
1946	-5.6	-2.1	2.4	9.7	14.1	16.3	18.7	17.8	14.1	3.9	2.9	-5
1947	-7.7	-2.8	3	9.2	14.6	17.2	19.2	16.6	16.8	7.4	1.1	-5.1
1948	-3.7	-5.9	1.4	9.4	13.1	15	17	17.3	14.3	9.2	1.7	-2.1
1949	-4.4	-3.5	-1.2	8.3	13.8	13.7	16.9	16.8	15.1	11	3.2	-2.1
1950	-8	-1.6	2	8.3	13.5	16.3	19	17.8	13.5	7.1	2.5	-2.5
1951	-3.4	-1.5	1.5	7.3	11.6	14.9	16.5	17.8	14.1	5.8	5.8	-0.8
1952	-4.6	-4.9	-4.8	8.4	9.8	13.9	17.3	18.1	11.5	7.3	-0.3	-3.7
1953	-5.1	-4.6	0.1	7.4	11	15.3	18.1	15.3	12.9	8.9	1.9	-1.8
1954	-10.3	-8.4	3.8	4.5	9.5	16.3	15.5	17.2	13.2	7.8	0.4	0.3
1955	-4.7	-3.9	0	6.1	10.9	13.7	16.9	15.9	12.9	6.8	1.1	-2.7
1956	-6.3	-12.8	-0.9	5.4	11.4	14.8	16.5	15.4	12.9	7.2	-3.4	-3.6
1957	-4.6	-0.2	1.2	7.6	9.4	16.1	18.9	15.2	11.2	8.3	1.9	-1.9
1958	-5.5	-0.3	-3.9	3.8	14.6	13	17.7	16.6	12.3	8.5	3.5	-1.6
1959	-4.2	-2.7	4.2	6.7	10.4	14	18.8	15.7	10.4	6.4	1.9	-0.9
1960	-6.2	-6	1.1	6.1	11.7	14.4	15.7	16.1	11.8	9.5	4.9	1.2
1961	-6	-0.3	4.2	9.6	10.2	16.4	15.7	16.7	13.8	9.6	2.6	-4.9
1962	-4	-5.2	-2	9.7	9	13.5	15.1	16.4	11.9	8.1	4.4	-6.9
1963	-10.8	-10.4	-3.9	7.1	12.9	15.2	18.1	17.2	13.9	7.8	6.3	-6.1
1964	-7.8	-6.3	-2.5	7.9	11.3	17.2	16.9	14.9	12.5	7.9	3.3	-2.6
1965	-3.9	-9.8	-1	5.4	9.4	15.4	15.2	15.2	13.3	7.2	-1.3	-2.5
1966	-7.6	2.1	0.2	8.1	11.9	13.9	16.3	15.9	11.9	10.6	2.9	-2.5
1967	-6.7	-2.6	4.2	7.5	12.1	14.9	17.6	16.5	14	10.1	2.7	-4.4
1968	-8	-1.8	3.3	8.8	12.2	16.4	16.4	14.5	12.1	7.9	4.9	-6.5
1969	-5.9	-5.1	-1.6	7.5	14	14.4	16.3	15.1	12	8.6	2.8	-8.8
1970	-5	-6.3	-1.2	6.1	9	14.5	16.3	15.6	10.8	7.4	4.1	-1.3
1971	-4.7	-1.8	-1.2	7.5	12.3	13.6	16.3	17	10.5	6.4	1.6	-1.1
1972	-7.5	-0.8	2.5	7.5	12	15.4	17.7	16.9	11.2	3.9	3.1	-0.9
1973	-3	-0.9	1.9	6.1	11.7	14.9	16.1	15.6	13	5.8	-0.4	-3.7
1974	-1.8	1.2	5.2	5.8	10.4	12.7	15.5	17.5	12.3	4.6	3.2	-0.7
1975	0.5	-3.2	3.7	7.3	13	14.8	17.3	15.3	14.5	8.6	-1.4	-3.6
1976	-5.7	-3.5	-2	6.5	10	13.6	17	13.2	11.7	9	3.4	-3.5
1977	-3.3	0.4	5.7	6.7	11.7	13.7	15.4	15	9.7	9.5	3.5	-2.6
1978	-3.1	-3.5	3.2	4.6	8.8	13.4	14.5	14.1	11.2	8.2	3.5	-4.5
1979	-5.8	-4.5	2.9	5.7	12.2	16.9	14.9	15.7	12.6	6.7	2.9	0.2
1980	-5.9	-1.1	0.4	5.5	8.2	14.6	14.9	15.1	11.8	8.6	1.5	-3.5
1981	-6.3	-2.1	4.8	6.4	11.4	16.2	16.2	15.1	12.9	8.3	1.9	-6.3
1982	-5.7	-4.2	3.4	4.9	11.3	14.9	16.8	17.1	15.8	8.9	3.5	0
1983	-0.1	-4.5	2	9.3	14.1	14.6	17.8	16.5	13.3	8.8	1.1	-2.7
1984	-1.2	-3.6	-0.2	6.2	11.6	12.5	15.4	15.2	12.8	9.5	3.3	-2.2
1985	-9.5	-9.5	2.7	7.4	12.1	12.8	16.6	17	12.1	8.3	-0.3	0.9
1986	-4	-8.5	0.2	8.9	13.5	14.5	15.8	15.8	11.8	8.7	3.7	-2.9
1987	-11.1	-2.8	-4	8.2	9.9	15	17.6	14.6	13.2	7.6	3.2	-2.4
1988	0.7	-1.3	-0.5	6.2	11.2	14.4	18	17	13	7.4	-3.6	-3.8
1989	-0.3	1.2	5.4	8.6	11.5	13.4	16.3	17	13.3	10.2	0.4	0.1
1990	-1.6	2.9	5.6	6.7	11.9	14.7	15.9	16.4	10.5	8.2	4.3	0
1991	-2	-5.8	3.8	6.1	9	14.3	18.2	16.5	13.3	7.1	3.2	-4.7
1992	-2.7	-0.5	2.1	7.6	11.6	16.5	18.1	20.4	11.9	9.2	3	-3.6
1993	-1.8	-3.4	0.3	7.7	14.3	14.5	15.9	16.3	11.9	9.1	-1.9	0.1
1994	1	-2.7	3.9	8.2	11.5	15.2	19.6	17.5	14.7	6.5	2.7	-1.2
1995	-2.9	1.7	2.1	7.3	11.1	14.9	19.1	16.5	11.7	9.4	-1.1	-4.8
1996	-6.4	-6.4	-2.1	7.4	13.6	15.7	15.3	16.6	9.4	8.7	5.3	-7.6
1997	-6.9	-0.6	1.9	4.5	12.8	15.6	16.2	17.2	12.3	6.1	2.9	-1.1
1998	-1.1	1.9	0.6	9.5	12.4	16.6	17.2	16.8	12.6	8.4	-0.8	-5
1999	-2.1	-3	3.4	9.1	11.6	15.6	18.5	15.9	14.5	8.2	0.9	-2.3
2000	-4.3	-0.2	2.2	10.2	13.5	15.7	15.4	17.7	11.4	11	5.7	-0.4
