rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1978	-2.2	-2.6	4	6.3	11	14.6	15.6	15	11	8.7	1.7	-2.2
1979	-4	-2.7	4.1	6.7	13.9	18.7	14.9	16	13.7	6.2	2.8	1.9
1980	-6.2	-0.4	0.4	5.8	9.5	14.8	16.3	15.9	12.2	9.2	1.4	-1.5
1981	-5.5	-1.5	5	6.2	13.9	17.4	17.6	16.2	13.8	9.9	1.9	-1.3
1982	-4.9	-3.3	2.9	5	13.7	15.9	17.4	17.6	15.8	9.4	4.9	1.4
1983	1.5	-2.5	4.2	10.6	15.3	16	17.7	16.6	13.8	8.3	1	-0.9
1984	-0.8	-2.3	0.8	7.8	13.2	14.1	15.2	16.4	14	10.9	3.1	-2
1985	-8.4	-9.1	2.5	8.2	13.8	13.7	16.9	17.6	12.6	8.2	0.9	2.4
1986	-1.9	-7.6	2.4	10.6	14.6	16.2	16.6	17.4	12.3	7.4	4.7	-2.4
1987	-10.3	-1	-3.5	7.1	11.6	16.2	19.2	14.8	13.6	8.6	4.5	-0.3
1988	2.2	0.7	1	7.1	13.5	15	18.7	16.9	13.3	7.6	-1.7	-0.7
1989		2.2	5.2	10	12.6	14.8	17.5	17	13.3	10	1.9	0.9
1990	-0.4	4.2	6.9	7.7	12.8	15.9	16.4	16.7	11	9.2	5.4	-0.6
1991	-1.2	-5.4	4.8	6.6	10	15.7	18.5	17	13.7	7.5	4.3	-3.6
1992	-2.7	-0.4	3.5	7.9	12.1	17.1	18.7	20.7	12	7.1	3.9	-1.5
1993	-1.1	-2.7	0.5	7.9	15.4	15.4	16.4	16.5	12.6	9.9	-0.8	1.7
1994	1.8	-1.7	3.9	8.7	12.2	15.6	20	17.9	15.8	7	3.6	-0.7
1995	-1.9	2.5	2.6	6.9	11.8	16.4	19.5	16.9	12.4	9.6	-0.5	-3.8
1996	-5.4	-5	-2.5	7.4	15	16.4	16.1	16.8	9.5	8.6	6.8	-6.5
1997	-5.8	0	1.5	4	13.8	16.3	16.7	16.7	12.3	6	4.1	-0.6
1998	0.5	2.3	0.5	10.2	13	17.4	17.6	16.8	12.8	8.2	-1.2	-3.7
1999	-0.6	-1.6	4.4	9.7	12.6	18.1	19.6	16.9	15.5	8.4	1.9	-0.3
2000	-3.8	0.9	3.1	11.2	14.8	16.7	16.8	18.4	11.3	11.9	8.6	2.7
2001	-0.5	-0.6	4.2	8.2	13.9	14.6	19.4	18.5	12.1	11.2	1.5	-6
2002	-2.6	3.5	4.6	7.9	16	17.2	20	18.6	11.9	7.3	5.8	-5.3
2003	-3.6	-6.7	1.2	6.6	16	17.7	18.6	18.5	12.4	5.7	6.1	0.4
2004	-5.2	-1.3	2.6	8.3	11.5	16	17.7	17.3	11.9	10.2	3.2	0.6
2005	-2	-4.4	-0.5	8.4	13.2	15.5	18.7	16.7	13.4	8.5	3.1	-0.9
2006	-6.9	-3.2	0.4	8.6	12.6	15.9	20.2	17.4	14.4	10.3	6.1	2.9
2007	2.6	1.4	6.1	8.4	15.6	18.8	19.8	18.5	12.1	7.9	1.9	-1.9
2008	0.9	1.6	3.8	8.7	13.6	17.8	18.3	18.5	12.5	10.3	5.5	1.5
2009	-1.9	-1.1	2.3	10.4	13.4	16.4	19.7	18	14.2	8.1	5.9	0.1
2010	-5.8	-1.3	2.7	8.8	14.1	17.5	20.1	19.4	12.3	5.4	7.7	-3.1
2011	-0.4	-4.1	2.7	9.6	13.5	18.1	18.3	19.1	15.1	7.8	2.1	2.2
2012	-1.9	-8.8	3.9	9.7	14.4	18.4	20.6	18.4	14.7	9.1	6.9	-2.2
2013	-2.3	-0.3	-0.5	9.8	15	18.4	19	18.7	11.4	10.8	5.8	1.5
2014	0.4	3.5	6.4	9.9	13.9	16	19.5	17.4	14.4	10	5.9	0.8
2015	0.6	0.8	4.3	8.1								
