rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1924	-8.5	-5.1	0.1	6	14.9	16.2	16.6	15.7	14.9	8.4	-0.3	-3.1
1925	-1.5	2.3	1.5	8.1	14.1	13.1	17.3	15.9	11.5	7.7	2.5	-4.8
1926	-3.2	-0.2	1.2	9.7	12.2	14.8	17.6	14.3	12.8	8.5	7.8	-2.9
1927	-2.6	-4	5.3	7.3	10.3	16	18.1	17.5	14.3	7.8	2.2	-7.2
1928	-3.7	-3.7	-0.3	8	10.3	13.5	19	16.2	13.3	7.9	4.6	-3.3
1929	-7.9	-13	-2.4	3.6	14.3	14.1	17.1	18.4	12.4	10.9	4.6	-0.5
1930	-2.4	-2.3	3.8	9.2	11.6	16.8	17	16.3	14	8.7	4.3	-3.2
1931	-3.1	-2.7	-1.3	5.5	15.3	16.4	19.1	16.8	9.8	6.8	0.9	-4.1
1932	-4.3	-9.2	-2.7	7.7	13.9	14.4	19.9	17.8	16.1	10.3	1.4	-1.8
1933	-7.2	-2.5	2.4	4.2	10.6	12.8	17.5	15.5	11.4	8.6	2.3	-8.7
1934	-4.8	-2.5	5.8	11.5	14.5	15.1	16.9	17.7	14.3	9.4	4.8	-0.4
1935	-6.8	-3.5	1	8	10.6	17.2	16.6	17	13.5	11.4	1.4	-0.8
1936	1.4	-2.9	5.4	8	14.5	15	20.3	15	11.5	4.7	2.3	-2.3
1937	-7.5	-1.4	4.7	7.6	16	17.5	17.4	16.7	15.2	8.3	2.4	-2.1
1938	-4.5	-2	4.6	5.7	11.5	17.3	18.6	17.5	13	9.6	4.1	-4.5
1939	-1	-0.3	0.1	10.6	12.5	16.9	19.5	17.9	12.5	7.6	2.5	-3.4
1940	-12.3	-11	-2.4	7.9	11.4	15.9	17.3	14.4	12.8	7.5	5	-7.4
1941	-7.7	-1.8	1.5	6.7	9.8	14.6	17.4	15.9	9.9	6.4	-1.3	-3.4
1942	-12.2	-4.9	-0.3	6.5	12.4	15.2	17.9	18.5	16.2	9.6	0.6	-1.1
1943	-7.5	-0.4	3.5	9.4	10.7	14.5	16.7	19.8	15.2	9.3	2.1	-2.8
1944	-2.7	-3.2	-0.6	7.8	11.4	16.1	17.9	19.2	17.2	10.3	1.5	-1
1945	-5.7	-1.7	2.2	8.1	13	15.6	17.6	16.9	12.9	7.8	2.2	-2.1
1946	-6	-2.3	3.3	10.4	14.5	17.2	19.1	19	15	4.1	4.2	-3.4
1947	-9.9	-4.8	3.2	9.1	13.8	16.9	19	16	15.3	5.8	2.8	-1.1
1948	0.8	-2.6	2.4	10.8	13.9	15.3	16.5	17	13.7	8.7	0.4	-7.4
1949	-2.7	-3.5	0	8.1	14	13.7	16.3	16.1	13.9	9.3	5.9	0
1950	-9.4	-1.8	3.5	9.9	14.1	16	19.2	17.3	13.6	7	4.1	1.3
1951	-2.1	0.3	3	8.6	11.9	15.9	17.2	18.5	15.3	6.7	5.9	-1.6
1952	-2.2	-3.8	-5.1	10	10.8	15	17.6	19.1	12.9	8.9	1.8	-1.4
1953	-3.6	-4	1.5	7.8	11.1	16.6	18.4	16	13	8.9	0.1	-3.1
1954	-10.9	-8.9	3.9	4.4	11.9	16.9	15.8	17.4	14.5	6.8	0.6	1.2
1955	-6.2	-2.7	0.6	5.2	11.1	12.9	16.6	16.4	12.7	8.4	1.1	-1.8
1956	-4.6	-11.6	-1.2	7.5	11.6	15.8	16.6	16.5	13.2	6.7	-4.6	-3.9
1957	-4.1	2.2	0.2	8.7	9.7	16.7	18.5	17	11.8	7.1	2.3	-0.8
1958	-4.7	-0.1	-2.5	4.1	14.2	12	17.5	16.9	12.6	8.9	3.7	0
1959	-2.6	-4.7	4.6	7.2	10.9	14.2	19.3	15.3	9.7	6.2	2.5	1.5
1960	-5.6	-5.6	1.7	7	11.5	15.2	15.8	16	10.8	10.1	6.3	2.3
1961	-5.9	-0.9	3.5	9.3	11	16.6	16.1	16.9	13.5	11	3.4	-6.3
1962	-3.4	-7.2	-1.8	9.8	10.2	13.4	15.1	16.3	12.6	7.4	5.5	-5.2
1963	-11	-10.8	-5.5	7.4	14.1	15.2	18.7	18.7	14.5	7.9	6.2	-5.5
1964	-11.9	-8.8	-2.3	8.1	10.8	18.2	17.4	15.1	12.1	9.4	2.5	-1.7
1965	-4.6	-9.6	-0.8	5.1	9.9	15.6	15.7	14.6	13.5	7	-1.5	-1.8
1966	-6.9	1.8	1.1	9	11.9	13.7	16.8	15.2	11.4	11.3	5.1	-3.2
1967	-9.2	-5.1	3.3	7.8	12.5	15.6	17.9	17	15.5	8.8	3.1	-4.7
1968	-8.2	-0.3	2.4	9.9	12.8	16.8	16.6	15	12.9	7.4	5.9	-4.8
1969	-7.9	-5.5	-1.9	7.3	13.6	14.6	16.1	15.1	12.1	7.9	4.6	-7
1970	-4.3	-6.1	-0.5	6.6	10	14.6	16.3	15.6	11.2	6.7	3.5	-1.4
1971	-3.7	-1.5	-0.8	7.6	12.5	13.7	16.6	16.7	10.3	6.5	0.9	-3
1972	-5.7	0.7	2.9	8.5	13	15.7	18.2	16.6	11.7	5.5	2.9	-1
1973	-3.2	0.5	1.6	7.7	12	14.6	16.7	14.9	13	7.5	-0.7	-5.4
1974	-3.9	2.8	6.1	6	10	12.6	15.8	18	13.6	6.3	3.8	-0.6
1975	0.5	-3	5.6	7.7	13.3	16.1	17.4	15.4	14.1	9	-0.3	-4.8
1976	-5.6	-6.7	-2.8	8.4	9.8	13.7	16.9	14.1	12.5	9	5.7	-1.9
1977	-3.2	1.8	5.8	7.9	11.9	13.5	15.5	15	10.6	8.9	3.6	-4.9
1978	-3.9	-3.1	5.1	5.5	10	14	15.2	14.9	10.7	9.3	0	-4.1
1979	-5	-1.9	3.9	6.1	13.6	18.4	15.2	16.3	13.1	6.9	3	0
1980	-7.1	-0.7	1.7	6.2	9.2	14.3	15.9	15	11.4	9.1	0.7	-3.6
1981	-7.8	-2.2	4.3	7	12.5	16.4	17.5	15.8	13.6	9.3	0.9	-2.6
1982	-7.3	-5.4	2.9	5.6	12.2	15.7	16.6	16.5	15.4	8.2	2.4	1.3
1983	0	-2.4	2.8	9.5	14.8	14.6	17.3	16.8	13.6	7.2	-0.3	-3.4
1984	-2.2	-4.4	1.3	8.1	12.2	12.5	15.6	15.3	13.8	10.6	2.7	-3.1
1985	-7.8	-10.1	3.6	8.6	13	13.9	16.8	17.7	11.5	8.1	1.7	0.5
1986	-1.6	-7.3	1.8	10	14.2	16.3	17	17.5	12.5	8.4	3.8	-3.6
1987	-9.5	-1.6	-3.3	8.8	11.3	15.4	18.7	14.6	13.1	7.8	3.9	-1.5
1988	1.1	0.7	1.8	6.8	12	15	18.9	17.2	13.7	8.1	-4.5	-3.9
1989	-2.2	2.4	5.9	9.6	12.4	14.8	17.3	17.2	13	9	1.3	-0.1
1990	-2.5	2	5.4	7.7	12.4	15.4	16.3	16.8	10.7	8.6	4.3	-2.6
1991	-2.4	0.3	4	7	9.5	15.3	18.3	16.6	13.7	7.5	3.7	-5.2
1992	-4	-0.9	3.1	8.2	11.4	16.4	17.7	20.3	12.2	7.1	3.2	-3.4
1993	-2.3	-3.6	0.4	7.8	15	15	15.9	16.5	12	9.4	-1.6	0.4
1994	0.7	-2.5	4.3	8.7	11.9	15.2	19.9	17.8	15.8	7.1	2.7	-2.1
1995	-3.7	2	2.6	7.3	11.3	15.2	19.3	16.9	12	9.9	-0.9	-4.6
1996	-6.4	-6	-2.1	8.6	14.6	16.1	15.7	16.7	9.7	8.9	5.8	-6.1
1997	-6.3	-0.6	2	4.4	13	15.6	16.4	17.2	12.4	6.3	3.4	-1.8
1998	-0.8	1.7	0.9	10.1	12	16.4	17.5	16.9	12.6	8.5	-0.8	-5.7
1999	-3.1	-4.3	4	9	10.9	16.7	18.9	15.8	15.3	8.1	1.5	-2.6
2000	-5.1	-1.2	1.7	10.8	13.8	15.8	15.6	17.9	11.2	10.9	6.3	0.2
